"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:38 AM","—","Wednesday, October 22, 2025 at 10:38 AM","Put Sweep","TSLA","437.5","10/24/2025","Put","Ask","371","$571.3K","3,196","2,171","7 hours ago","Wednesday, October 22, 2025 at 10:23 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 10:41 AM","Highly Unusual Put Sweep","AMD","225","10/24/2025","Put","Ask","5,018","$692.5K","8,334","13,071","7 hours ago","Wednesday, October 22, 2025 at 10:26 AM","10:41 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:41 AM","Put Sweep","PLTR","180","10/24/2025","Put","Ask","899","$449.5K","7,843","5,671","7 hours ago","Wednesday, October 22, 2025 at 10:26 AM","10:41 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:44 AM","Unusual Put Sweep","ASTS","70","11/21/2025","Put","Above","475","$485.9K","3,883","1,014","7 hours ago","Wednesday, October 22, 2025 at 10:28 AM","10:44 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:45 AM","Call Sweep","NVDA","180","11/14/2025","Call","Ask","510","$408K","1,094","7,170","7 hours ago","Wednesday, October 22, 2025 at 10:30 AM","10:45 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:47 AM","—","Wednesday, October 22, 2025 at 10:47 AM","Call Sweep","AMD","240","11/21/2025","Call","Above","412","$579.1K","1,007","5,989","7 hours ago","Wednesday, October 22, 2025 at 10:32 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 10:50 AM","Unusual Put Sweep","AMAT","240","03/20/2026","Put","Ask","376","$1.2M","456","8","7 hours ago","Wednesday, October 22, 2025 at 10:35 AM","10:50 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:51 AM","Call Sweep","NVDA","180","11/14/2025","Call","Ask","509","$417.4K","2,429","7,170","7 hours ago","Wednesday, October 22, 2025 at 10:36 AM","10:51 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:56 AM","—","Wednesday, October 22, 2025 at 10:56 AM","Highly Unusual Call Sweep","NVDA","190","10/31/2025","Call","Ask","5,056","$783.7K","30,532","80,318","7 hours ago","Wednesday, October 22, 2025 at 10:41 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 10:57 AM","Put Sweep","RGTI","44","11/21/2025","Put","Above","773","$804K","2,915","10,721","7 hours ago","Wednesday, October 22, 2025 at 10:42 AM","10:57 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:58 AM","Call Sweep","GLD","355","01/16/2026","Call","Ask","345","$897K","2,033","12,111","7 hours ago","Wednesday, October 22, 2025 at 10:43 AM","10:58 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:59 AM","Put Sweep","GDX","70","12/19/2025","Put","Ask","2,000","$840K","2,133","11,366","7 hours ago","Wednesday, October 22, 2025 at 10:43 AM","10:59 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 10:59 AM","Unusual Put Sweep","BE","96","10/31/2025","Put","Ask","604","$652.3K","641","25","7 hours ago","Wednesday, October 22, 2025 at 10:44 AM","10:59 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:01 AM","Put Sweep","IBIT","61","11/07/2025","Put","Ask","2,605","$625.2K","2,642","3,556","7 hours ago","Wednesday, October 22, 2025 at 10:45 AM","11:01 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:02 AM","Put Sweep","IBIT","61","11/07/2025","Put","Above","2,647","$638.5K","7,929","3,556","7 hours ago","Wednesday, October 22, 2025 at 10:47 AM","11:02 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:03 AM","—","Wednesday, October 22, 2025 at 11:03 AM","Unusual Call Sweep","HOOD","123","10/31/2025","Call","Ask","1,006","$603.6K","1,071","164","6 hours ago","Wednesday, October 22, 2025 at 10:48 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 11:03 AM","Put Sweep","NBIS","80","12/19/2025","Put","Ask","841","$563.5K","865","6,286","6 hours ago","Wednesday, October 22, 2025 at 10:48 AM","11:03 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:04 AM","Put Sweep","NBIS","80","12/19/2025","Put","Ask","659","$448.1K","1,525","6,286","6 hours ago","Wednesday, October 22, 2025 at 10:48 AM","11:04 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:12 AM","—","Wednesday, October 22, 2025 at 11:12 AM","Call Sweep","MSFT","530","11/21/2025","Call","Ask","259","$410.5K","1,794","7,349","6 hours ago","Wednesday, October 22, 2025 at 10:57 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 11:13 AM","Call Sweep","COIN","340","03/20/2026","Call","Ask","200","$925K","236","1,340","6 hours ago","Wednesday, October 22, 2025 at 10:57 AM","11:13 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:15 AM","Call Sweep","GOOGL","240","11/21/2025","Call","Above","200","$427.5K","805","30,521","6 hours ago","Wednesday, October 22, 2025 at 11:00 AM","11:15 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:15 AM","Put Sweep","PLTR","170","01/16/2026","Put","Ask","299","$500.8K","651","4,650","6 hours ago","Wednesday, October 22, 2025 at 11:00 AM","11:15 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:18 AM","Call Sweep","AAPL","250","01/15/2027","Call","Ask","150","$641.3K","169","9,201","6 hours ago","Wednesday, October 22, 2025 at 11:03 AM","11:18 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:23 AM","—","Wednesday, October 22, 2025 at 11:23 AM","Call Sweep","GOOG","250","01/16/2026","Call","Ask","200","$462K","3,838","18,645","6 hours ago","Wednesday, October 22, 2025 at 11:08 AM","",""
"","","","","[","Wednesday, October 22, 2025 at 11:25 AM","Put Sweep","HIMS","55","12/19/2025","Put","Ask","402","$494.5K","459","19,876","6 hours ago","Wednesday, October 22, 2025 at 11:10 AM","11:25 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:25 AM","Put Sweep","HIMS","55","12/19/2025","Put","Ask","397","$488.3K","856","19,876","6 hours ago","Wednesday, October 22, 2025 at 11:10 AM","11:25 AM","]"
"","","","","[","Wednesday, October 22, 2025 at 11:28 AM","Call Sweep","TSLA","435","10/24/2025","Call","Ask","350","$574K","8,409","5,119","6 hours ago","Wednesday, October 22, 2025 at 11:13 AM","11:28 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11:32 AM","—","Wednesday, October 22, 2025 at 11:32 AM","Put Sweep","AMD","230","10/31/2025","Put","Above","501","$417.8K","1,364","2,413","6 hours ago","Wednesday, October 22, 2025 at 11:17 AM","",""
