"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 1:47 PM","—","Friday, October 24, 2025 at 1:47 PM","Put Sweep","TSLA","320","01/16/2026","Put","Above","1,101","$713.8K","1,155","6,854","3 days ago","Friday, October 24, 2025 at 1:32 PM","",""
"","","","","[","Friday, October 24, 2025 at 1:48 PM","Unusual Put Sweep","DKNG","33","11/21/2025","Put","Ask","3,028","$696.4K","3,203","39","3 days ago","Friday, October 24, 2025 at 1:33 PM","1:48 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 1:54 PM","—","Friday, October 24, 2025 at 1:54 PM","Unusual Call Sweep","METC","35","01/21/2028","Call","Ask","300","$561K","502","100","3 days ago","Friday, October 24, 2025 at 1:39 PM","",""
"","","","","[","Friday, October 24, 2025 at 1:55 PM","Call Sweep","AMZN","250","01/16/2026","Call","Ask","768","$495.4K","6,147","50,047","3 days ago","Friday, October 24, 2025 at 1:40 PM","1:55 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:01 PM","Unusual Call Sweep","AAPL","267.5","11/07/2025","Call","Ask","1,002","$496K","3,408","863","3 days ago","Friday, October 24, 2025 at 1:46 PM","2:01 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 2:04 PM","—","Friday, October 24, 2025 at 2:04 PM","Put Sweep","GOOGL","265","05/15/2026","Put","Above","246","$676.8K","1,003","454","3 days ago","Friday, October 24, 2025 at 1:49 PM","",""
"","","","","[","Friday, October 24, 2025 at 2:06 PM","Unusual Call Sweep","GOOG","285","03/20/2026","Call","Ask","276","$447.1K","7,121","401","3 days ago","Friday, October 24, 2025 at 1:51 PM","2:06 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 2:16 PM","—","Friday, October 24, 2025 at 2:16 PM","Put Sweep","TSLA","290","01/16/2026","Put","Ask","1,000","$415K","4,538","10,307","3 days ago","Friday, October 24, 2025 at 2:01 PM","",""
"","","","","[","Friday, October 24, 2025 at 2:17 PM","Put Sweep","TSLA","350","09/18/2026","Put","Ask","195","$825.8K","232","1,160","3 days ago","Friday, October 24, 2025 at 2:02 PM","2:17 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:18 PM","Call Sweep","NVDA","180","11/07/2025","Call","Ask","481","$435.3K","6,321","9,639","3 days ago","Friday, October 24, 2025 at 2:03 PM","2:18 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 2:25 PM","—","Friday, October 24, 2025 at 2:25 PM","Put Sweep","META","650","02/20/2026","Put","Ask","200","$469K","210","1,652","3 days ago","Friday, October 24, 2025 at 2:09 PM","",""
"","","","","[","Friday, October 24, 2025 at 2:29 PM","Put Sweep","PLTR","165","11/21/2025","Put","Ask","765","$409.3K","2,071","7,816","3 days ago","Friday, October 24, 2025 at 2:14 PM","2:29 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 2:34 PM","—","Friday, October 24, 2025 at 2:34 PM","Put Sweep","TSLA","290","02/20/2026","Put","Ask","1,000","$690K","2,902","3,865","3 days ago","Friday, October 24, 2025 at 2:18 PM","",""
"","","","","[","Friday, October 24, 2025 at 2:35 PM","Call Sweep","AAPL","250","01/16/2026","Call","Ask","347","$772.1K","1,592","51,070","3 days ago","Friday, October 24, 2025 at 2:20 PM","2:35 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:35 PM","Put Sweep","TSLA","290","01/16/2026","Put","Ask","1,500","$630K","6,246","10,307","3 days ago","Friday, October 24, 2025 at 2:20 PM","2:35 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:37 PM","Highly Unusual Put Sweep","NVDA","172.5","10/31/2025","Put","Ask","6,416","$500.4K","9,869","7,495","3 days ago","Friday, October 24, 2025 at 2:22 PM","2:37 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10/24/25, 2:43 PM","—","Friday, October 24, 2025 at 2:43 PM","Put Sweep","XOP","130","09/18/2026","Put","Ask","973","$1.4M","1,408","496","3 days ago","Friday, October 24, 2025 at 2:28 PM","",""
"","","","","[","Friday, October 24, 2025 at 2:46 PM","Put Sweep","NVDA","185","10/31/2025","Put","Ask","2,478","$929.3K","23,828","18,219","3 days ago","Friday, October 24, 2025 at 2:31 PM","2:46 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:46 PM","Call Sweep","NVDA","185","10/31/2025","Call","Ask","1,588","$659K","50,007","35,796","3 days ago","Friday, October 24, 2025 at 2:31 PM","2:46 PM","]"
"","","","","[","Friday, October 24, 2025 at 2:49 PM","Put Sweep","TSLA","300","02/20/2026","Put","Ask","700","$588K","819","8,489","3 days ago","Friday, October 24, 2025 at 2:34 PM","2:49 PM","]"
