"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 12:00 PM","—","Friday, November 14, 2025 at 12:00 PM","Put Sweep","IREN","65","12/19/2025","Put","Ask","239","$429K","257","774","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 12:04 PM","Call Sweep","AVGO","345","11/21/2025","Call","Ask","921","$782.9K","1,350","785","3 days ago","12:04 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:04 PM","Unusual Call Sweep","AVGO","345","11/21/2025","Call","Ask","2,678","$2.3M","4,028","785","3 days ago","12:04 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:04 PM","Call Sweep","NBIS","100","01/15/2027","Call","Above","154","$488.2K","427","3,831","3 days ago","12:04 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:05 PM","Call Sweep","HPE","24","01/16/2026","Call","Above","2,654","$409.1K","4,488","20,748","3 days ago","12:05 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 12:08 PM","—","Friday, November 14, 2025 at 12:08 PM","Call Sweep","ORCL","270","06/18/2026","Call","Ask","190","$418K","205","1,072","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 12:11 PM","Call Sweep","TSLA","410","11/21/2025","Call","Above","400","$516K","19,482","7,842","3 days ago","12:11 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:11 PM","Call Sweep","GOOGL","295","06/17/2027","Call","Above","298","$1.6M","404","3,889","3 days ago","12:11 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 12:19 PM","—","Friday, November 14, 2025 at 12:19 PM","Call Sweep","MSFT","525","04/17/2026","Call","Ask","200","$623K","204","390","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 12:23 PM","Call Sweep","TSLA","410","11/21/2025","Call","Ask","400","$450K","21,238","7,842","3 days ago","12:23 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 12:28 PM","—","Friday, November 14, 2025 at 12:28 PM","Call Sweep","AMD","280","02/20/2026","Call","Above","1,000","$2.1M","2,223","1,868","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 12:30 PM","Put Sweep","NVDA","190","11/21/2025","Put","Above","750","$542K","8,067","38,939","3 days ago","12:30 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:33 PM","Call Sweep","MSFT","590","01/21/2028","Call","Above","159","$1.1M","559","711","3 days ago","12:33 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 12:35 PM","—","Friday, November 14, 2025 at 12:35 PM","Put Sweep","NVDA","180","11/21/2025","Put","Above","3,221","$1M","17,698","72,617","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 12:40 PM","Call Sweep","META","600","01/16/2026","Call","Ask","500","$2.1M","1,129","8,538","3 days ago","12:40 PM","]"
"","","","","[","Friday, November 14, 2025 at 12:40 PM","Call Sweep","PLTR","150","02/20/2026","Call","Ask","150","$568.5K","712","3,197","3 days ago","12:40 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 1:15 PM","—","Friday, November 14, 2025 at 1:15 PM","Unusual Call Sweep","MSTR","220","11/21/2025","Call","Ask","1,974","$641.6K","7,501","1,039","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 1:19 PM","Call Sweep","NVDA","195","05/15/2026","Call","Ask","429","$1M","699","3,068","3 days ago","1:19 PM","]"
"","","","","[","Friday, November 14, 2025 at 1:21 PM","Put Sweep","AMZN","235","01/16/2026","Put","Above","596","$663.2K","1,510","9,406","3 days ago","1:21 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 1:22 PM","—","Friday, November 14, 2025 at 1:22 PM","Unusual Call Sweep","BABA","140","11/28/2025","Call","Above","392","$668.2K","416","117","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 1:22 PM","Unusual Call Sweep","BABA","140","11/28/2025","Call","Above","391","$661.9K","808","117","3 days ago","1:22 PM","]"
"","","","","[","Friday, November 14, 2025 at 1:24 PM","Unusual Call Sweep","BABA","140","11/28/2025","Call","Above","367","$642.2K","1,297","117","3 days ago","1:24 PM","]"
"","","","","[","Friday, November 14, 2025 at 1:24 PM","Unusual Call Sweep","BABA","140","11/28/2025","Call","Above","312","$526.6K","1,609","117","3 days ago","1:24 PM","]"
"","","","","[","Friday, November 14, 2025 at 1:26 PM","Put Sweep","AMZN","235","01/16/2026","Put","Above","503","$555.7K","2,022","9,406","3 days ago","1:26 PM","]"
"","","","","[","Friday, November 14, 2025 at 1:29 PM","Call Sweep","NBIS","105","01/21/2028","Call","Above","200","$811K","223","552","3 days ago","1:29 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 1:30 PM","—","Friday, November 14, 2025 at 1:30 PM","Unusual Call Sweep","CORZ","23","02/20/2026","Call","Ask","4,997","$504.7K","5,500","130","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 1:31 PM","Unusual Call Sweep","CORZ","23","02/20/2026","Call","Ask","4,858","$490.7K","10,362","130","3 days ago","1:31 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 1:39 PM","—","Friday, November 14, 2025 at 1:39 PM","Put Sweep","TSM","240","05/15/2026","Put","Ask","1,732","$2.1M","2,292","839","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 1:41 PM","Unusual Call Sweep","CLOV","2.5","05/15/2026","Call","Above","7,901","$529.7K","11,640","584","3 days ago","1:41 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 2:02 PM","—","Friday, November 14, 2025 at 2:02 PM","Unusual Call Sweep","MSTR","215","11/21/2025","Call","Ask","1,468","$521.1K","22,236","3,706","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 2:07 PM","Unusual Call Sweep","MSTR","215","11/21/2025","Call","Ask","1,503","$548.6K","24,747","3,706","3 days ago","2:07 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 2:10 PM","—","Friday, November 14, 2025 at 2:10 PM","Unusual Call Sweep","MSTR","210","12/12/2025","Call","Above","658","$862K","758","34","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 2:11 PM","Call Sweep","TSLA","410","12/12/2025","Call","Ask","177","$416K","1,023","360","3 days ago","2:11 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 2:21 PM","—","Friday, November 14, 2025 at 2:21 PM","Unusual Call Sweep","TSLA","410","11/21/2025","Call","Ask","501","$526.1K","31,586","7,842","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 2:26 PM","Put Sweep","UVXY","15","11/21/2025","Put","Ask","1,000","$410K","1,019","361","3 days ago","2:26 PM","]"
"","","","","[","Friday, November 14, 2025 at 2:28 PM","Unusual Call Sweep","TSLA","407.5","11/21/2025","Call","Ask","499","$608.8K","8,034","1,484","3 days ago","2:28 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 2:38 PM","—","Friday, November 14, 2025 at 2:38 PM","Call Sweep","ORCL","260","01/16/2026","Call","Ask","496","$476.2K","821","3,802","3 days ago","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 2:54 PM","—","Friday, November 14, 2025 at 2:54 PM","Call Sweep","TSLA","415","11/21/2025","Call","Ask","500","$445K","18,539","23,413","3 days ago","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/14/25, 3:04 PM","—","Friday, November 14, 2025 at 3:04 PM","Unusual Put Sweep","IREN","41","01/16/2026","Put","Ask","977","$561.8K","984","270","3 days ago","",""
"","","","","[","Friday, November 14, 2025 at 3:06 PM","Put Sweep","GOOG","277.5","11/21/2025","Put","Ask","999","$454.5K","1,740","700","3 days ago","3:06 PM","]"
