"separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","210","$630K","2,185","4","3 days ago","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 3:54 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","216","$648K","2,833","4","3 days ago","Friday, October 10, 2025 at 3:39 PM","3:54 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 3:58 PM","Call Sweep","BMNR","40","01/15/2027","Call","Ask","435","$1.3M","1,280","9,477","3 days ago","Friday, October 10, 2025 at 3:43 PM","3:58 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 3:58 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","429","$1.3M","3,266","4","3 days ago","Friday, October 10, 2025 at 3:43 PM","3:58 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"—","Friday, October 10, 2025 at 4:00 PM","Call Sweep","NVDA","195","11/21/2025","Call","Ask","601","$492.8K","21,082","28,768","3 days ago","Friday, October 10, 2025 at 3:45 PM","","","","","","","","",""
"[","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","391","$1.1M","3,662","4","3 days ago","Friday, October 10, 2025 at 3:47 PM","4:02 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 4:02 PM","Unusual Put Sweep","IREN","75","03/20/2026","Put","Ask","199","$582.1K","3,861","4","3 days ago","Friday, October 10, 2025 at 3:47 PM","4:02 PM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 4:04 PM","Put Sweep","CAT","470","11/21/2025","Put","Ask","399","$598.5K","479","825","3 days ago","Friday, October 10, 2025 at 3:49 PM","4:04 PM","]","","","","","","",""
"—","Friday, October 10, 2025 at 4:09 PM","Put Sweep","UPXI","7.5","12/19/2025","Put","Ask","1,500","$420K","1,506","5,170","3 days ago","Friday, October 10, 2025 at 3:54 PM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Friday, October 10, 2025 at 4:13 PM","Put Sweep","MRVL","75","06/18/2026","Put","Above","417","$400.5K","439","1,334","3 days ago","Friday, October 10, 2025 at 3:57 PM","4:13 PM","]","","","","","","",""
"[","Friday, October 10, 2025 at 4:14 PM","Call Sweep","NVDA","175","12/19/2025","Call","Ask","200","$407K","750","25,693","3 days ago","Friday, October 10, 2025 at 3:59 PM","4:14 PM","]","","","","","","",""
"—","Monday, October 13, 2025 at 9:45 AM","Call Sweep","EOSE","10","05/15/2026","Call","Above","3,199","$2.5M","3,200","9,438","an hour ago","Monday, October 13, 2025 at 9:30 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:45 AM","Unusual Call Sweep","AMD","232.5","10/17/2025","Call","Ask","8,850","$2.5M","10,002","2,121","an hour ago","Monday, October 13, 2025 at 9:30 AM","9:45 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:46 AM","Call Sweep","UUUU","22","10/24/2025","Call","Above","1,100","$418.2K","1,137","2,135","an hour ago","Monday, October 13, 2025 at 9:31 AM","9:46 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:46 AM","Call Sweep","GLD","371","10/22/2025","Call","Ask","524","$448K","1,006","5,793","an hour ago","Monday, October 13, 2025 at 9:31 AM","9:46 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:47 AM","Call Sweep","AVGO","340","10/17/2025","Call","Above","290","$484.7K","453","6,371","an hour ago","Monday, October 13, 2025 at 9:31 AM","9:47 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:47 AM","Call Sweep","GLD","371","10/22/2025","Call","Above","500","$406K","3,019","5,793","an hour ago","Monday, October 13, 2025 at 9:32 AM","9:47 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:48 AM","Call Sweep","ORCL","300","11/21/2025","Call","Ask","200","$466K","214","4,014","an hour ago","Monday, October 13, 2025 at 9:33 AM","9:48 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:48 AM","Call Sweep","NVDA","190","11/14/2025","Call","Ask","3,740","$3.4M","5,810","4,793","an hour ago","Monday, October 13, 2025 at 9:33 AM","9:48 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:48 AM","Call Sweep","NVDA","190","11/14/2025","Call","Above","2,200","$2M","8,012","4,793","an hour ago","Monday, October 13, 2025 at 9:33 AM","9:48 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:49 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","665","$656.7K","3,139","10,484","an hour ago","Monday, October 13, 2025 at 9:34 AM","9:49 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:49 AM","Unusual Call Sweep","BMNR","55","11/14/2025","Call","Ask","998","$733.5K","1,022","138","an hour ago","Monday, October 13, 2025 at 9:34 AM","9:49 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:50 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","714","$746.4K","3,892","10,484","an hour ago","Monday, October 13, 2025 at 9:35 AM","9:50 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:50 AM","Call Sweep","BMNR","50","01/16/2026","Call","Above","400","$608.3K","724","14,019","an hour ago","Monday, October 13, 2025 at 9:35 AM","9:50 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:52 AM","Unusual Call Sweep","NVDA","190","11/14/2025","Call","Above","4,630","$4.1M","15,460","4,793","an hour ago","Monday, October 13, 2025 at 9:36 AM","9:52 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"—","Monday, October 13, 2025 at 9:52 AM","Put Sweep","AVGO","345","10/17/2025","Put","Ask","666","$712.6K","5,557","10,484","an hour ago","Monday, October 13, 2025 at 9:37 AM","","",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"[","Monday, October 13, 2025 at 9:53 AM","Unusual Call Sweep","GLD","377","10/31/2025","Call","Ask","1,143","$834.4K","1,364","123","an hour ago","Monday, October 13, 2025 at 9:38 AM","9:53 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:53 AM","Put Sweep","AVGO","345","10/17/2025","Put","Above","701","$739.6K","6,313","10,484","an hour ago","Monday, October 13, 2025 at 9:38 AM","9:53 AM","]","","","","","","",""
"[","Monday, October 13, 2025 at 9:53 AM","Call Sweep","TSLA","430","10/17/2025","Call","Above","2,032","$1.6M","6,770","11,938","an hour ago","Monday, October 13, 2025 at 9:38 AM","9:53 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
