"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:55 PM","—","Monday, October 20, 2025 at 3:55 PM","Put Sweep","ORCL","290","12/19/2025","Put","Ask","211","$663.6K","480","4,439","a day ago","Monday, October 20, 2025 at 3:40 PM","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 4:07 PM","—","Monday, October 20, 2025 at 4:07 PM","Call Sweep","AMZN","215","11/21/2025","Call","Ask","500","$602.5K","3,686","8,458","a day ago","Monday, October 20, 2025 at 3:52 PM","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:45 AM","—","Tuesday, October 21, 2025 at 9:45 AM","Call Sweep","GM","55","01/16/2026","Call","Above","801","$774.4K","802","14,895","6 hours ago","Tuesday, October 21, 2025 at 9:30 AM","",""
"","","","","[","Tuesday, October 21, 2025 at 9:45 AM","Call Sweep","AMZN","220","01/16/2026","Call","Above","339","$527.2K","475","18,591","6 hours ago","Tuesday, October 21, 2025 at 9:30 AM","9:45 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:46 AM","Call Sweep","GLD","387","10/29/2025","Call","Above","1,813","$1.3M","1,815","2,191","6 hours ago","Tuesday, October 21, 2025 at 9:30 AM","9:46 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:51 AM","Put Sweep","GLD","370","11/21/2025","Put","Ask","788","$417.6K","1,415","18,329","6 hours ago","Tuesday, October 21, 2025 at 9:36 AM","9:51 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:51 AM","Put Sweep","TSLA","460","10/24/2025","Put","Above","216","$524.4K","309","1,107","5 hours ago","Tuesday, October 21, 2025 at 9:36 AM","9:51 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:51 AM","Put Sweep","TSLA","460","10/24/2025","Put","Ask","166","$400.1K","475","1,107","5 hours ago","Tuesday, October 21, 2025 at 9:36 AM","9:51 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:51 AM","Put Sweep","TSLA","460","10/24/2025","Put","Above","323","$774.5K","942","1,107","5 hours ago","Tuesday, October 21, 2025 at 9:36 AM","9:51 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:52 AM","Put Sweep","TSLA","450","10/24/2025","Put","Above","362","$652.5K","477","3,110","5 hours ago","Tuesday, October 21, 2025 at 9:37 AM","9:52 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:53 AM","—","Tuesday, October 21, 2025 at 9:53 AM","Put Sweep","GLD","365","12/19/2025","Put","Ask","1,000","$555K","1,028","6,282","5 hours ago","Tuesday, October 21, 2025 at 9:38 AM","",""
"","","","","[","Tuesday, October 21, 2025 at 9:54 AM","Unusual Put Sweep","AAPL","265","02/20/2026","Put","Ask","306","$459K","2,010","256","5 hours ago","Tuesday, October 21, 2025 at 9:38 AM","9:54 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:54 AM","Call Sweep","IBIT","61","06/18/2026","Call","Ask","450","$540K","451","713","5 hours ago","Tuesday, October 21, 2025 at 9:39 AM","9:54 AM","]"
"","","","","[","Tuesday, October 21, 2025 at 9:55 AM","Put Sweep","SLV","45","10/31/2025","Put","Ask","4,999","$714.9K","7,090","16,596","5 hours ago","Tuesday, October 21, 2025 at 9:40 AM","9:55 AM","]"
