ticker,strike,expiry,optionType,volume,premium,openInterest,bidAskSpread,timestamp,sweepType,sourceFile
PLTR,190,11/21/2025,Call,1047,$1.1M,13170,0,"Monday, October 13, 2025 at 1:07 PM",Call Sweep,options_data_2025-10-13_05-30.csv
ORCL,305,11/07/2025,Call,320,$678.4K,905,0,"Monday, October 13, 2025 at 1:08 PM",Call Sweep,options_data_2025-10-13_05-30.csv
NVDA,215,01/16/2026,Call,733,$549.8K,8082,0,"Monday, October 13, 2025 at 1:13 PM",Call Sweep,options_data_2025-10-13_05-30.csv
BBAI,10,03/20/2026,Call,7289,$1.6M,9061,0,"Monday, October 13, 2025 at 1:14 PM",Call Sweep,options_data_2025-10-13_05-30.csv
TSLA,460,11/14/2025,Call,300,$564K,369,0,"Monday, October 13, 2025 at 1:19 PM",Call Sweep,options_data_2025-10-13_05-30.csv
APP,650,11/07/2025,Call,2005,$5M,2016,0,"Monday, October 13, 2025 at 1:24 PM",Unusual Call Sweep,options_data_2025-10-13_05-30.csv
TSLA,960,01/15/2027,Call,250,$701K,2094,0,"Monday, October 13, 2025 at 1:29 PM",Call Sweep,options_data_2025-10-13_05-30.csv
TSLA,960,01/15/2027,Call,250,$703.8K,2594,0,"Monday, October 13, 2025 at 1:29 PM",Call Sweep,options_data_2025-10-13_05-30.csv
TSLA,960,01/15/2027,Call,250,$705K,2844,0,"Monday, October 13, 2025 at 1:29 PM",Call Sweep,options_data_2025-10-13_05-30.csv
TSLA,500,03/20/2026,Call,200,$832K,633,0,"Monday, October 13, 2025 at 1:39 PM",Call Sweep,options_data_2025-10-13_05-30.csv
TSM,330,01/16/2026,Call,350,$631.8K,863,0,"Monday, October 13, 2025 at 1:40 PM",Call Sweep,options_data_2025-10-13_05-30.csv
SLV,46,11/21/2025,Put,1930,$503.7K,2489,0,"Monday, October 13, 2025 at 1:46 PM",Put Sweep,options_data_2025-10-13_05-30.csv
SLV,45.5,11/21/2025,Put,2472,$576K,2804,0,"Monday, October 13, 2025 at 1:47 PM",Unusual Put Sweep,options_data_2025-10-13_05-30.csv
APP,650,11/07/2025,Call,830,$2.3M,3196,0,"Monday, October 13, 2025 at 1:47 PM",Unusual Call Sweep,options_data_2025-10-13_05-30.csv
ASTS,90,01/16/2026,Call,531,$1.1M,1090,0,"Monday, October 13, 2025 at 1:58 PM",Call Sweep,options_data_2025-10-13_05-30.csv
IBIT,60,01/15/2027,Call,799,$1.5M,920,0,"Monday, October 13, 2025 at 2:03 PM",Call Sweep,options_data_2025-10-13_05-30.csv
UPWK,15,01/16/2026,Call,1500,$465K,1525,0,"Monday, October 13, 2025 at 2:03 PM",Call Sweep,options_data_2025-10-13_05-30.csv
AMZN,220,01/15/2027,Call,150,$579.8K,495,0,"Monday, October 13, 2025 at 2:07 PM",Call Sweep,options_data_2025-10-13_05-30.csv
IREN,50,03/20/2026,Put,484,$537.2K,558,0,"Monday, October 13, 2025 at 2:10 PM",Put Sweep,options_data_2025-10-13_05-30.csv
AMD,260,06/18/2026,Call,242,$626.8K,510,0,"Monday, October 13, 2025 at 2:11 PM",Call Sweep,options_data_2025-10-13_05-30.csv
CRM,300,12/19/2025,Call,880,$413.6K,1640,0,"Monday, October 13, 2025 at 2:23 PM",Call Sweep,options_data_2025-10-13_05-30.csv
IBIT,65,06/18/2026,Call,1800,$2.2M,3353,0,"Monday, October 13, 2025 at 2:27 PM",Call Sweep,options_data_2025-10-13_05-30.csv
BABA,145,11/21/2025,Put,1513,$408.5K,1777,0,"Monday, October 13, 2025 at 2:29 PM",Put Sweep,options_data_2025-10-13_05-30.csv
TSLA,450,11/21/2025,Call,5127,$14.4M,6964,0,"Monday, October 13, 2025 at 2:31 PM",Call Sweep,options_data_2025-10-13_05-30.csv
SOUN,15,01/16/2026,Call,747,$444.5K,1224,0,"Monday, October 13, 2025 at 2:33 PM",Call Sweep,options_data_2025-10-13_05-30.csv
NVDA,185,11/07/2025,Call,400,$406K,2016,0,"Monday, October 13, 2025 at 2:52 PM",Call Sweep,options_data_2025-10-13_05-30.csv
ARM,165,01/16/2026,Call,150,$405K,353,0,"Monday, October 13, 2025 at 2:55 PM",Call Sweep,options_data_2025-10-13_05-30.csv
MOS,27.5,01/15/2027,Put,1557,$529.4K,1975,0,"Monday, October 13, 2025 at 2:55 PM",Put Sweep,options_data_2025-10-13_05-30.csv
NEM,90,12/19/2025,Call,701,$452.1K,980,0,"Monday, October 13, 2025 at 3:02 PM",Call Sweep,options_data_2025-10-13_05-30.csv
NVDA,185,11/21/2025,Call,1250,$1.7M,3595,0,"Monday, October 13, 2025 at 3:06 PM",Call Sweep,options_data_2025-10-13_05-30.csv
ORCL,400,01/16/2026,Call,821,$775.8K,1423,0,"Monday, October 13, 2025 at 3:08 PM",Call Sweep,options_data_2025-10-13_05-30.csv
UAMY,20,01/15/2027,Call,500,$400K,4233,0,"Monday, October 13, 2025 at 3:11 PM",Call Sweep,options_data_2025-10-13_05-30.csv
ARM,190,03/20/2026,Call,193,$461.3K,224,0,"Monday, October 13, 2025 at 3:17 PM",Call Sweep,options_data_2025-10-13_05-30.csv
NVDA,185,11/21/2025,Call,1250,$1.7M,4925,0,"Monday, October 13, 2025 at 3:22 PM",Call Sweep,options_data_2025-10-13_05-30.csv
BOX,35,01/15/2027,Call,1000,$460K,1000,0,"Monday, October 13, 2025 at 3:37 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,220,06/18/2026,Call,300,$507K,1481,0,"Monday, October 13, 2025 at 3:38 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,170,11/21/2025,Put,976,$468.5K,5023,0,"Monday, October 13, 2025 at 3:52 PM",Put Sweep,options_data_2025-10-14_01-00.csv
AMZN,225,01/16/2026,Put,436,$721.6K,533,0,"Monday, October 13, 2025 at 3:55 PM",Put Sweep,options_data_2025-10-14_01-00.csv
GOOGL,250,12/19/2025,Put,276,$472K,535,0,"Monday, October 13, 2025 at 3:58 PM",Put Sweep,options_data_2025-10-14_01-00.csv
GOOGL,245,12/19/2025,Put,623,$897.1K,911,0,"Monday, October 13, 2025 at 3:58 PM",Put Sweep,options_data_2025-10-14_01-00.csv
NIO,5,01/16/2026,Call,2100,$506.1K,3400,0,"Monday, October 13, 2025 at 3:58 PM",Call Sweep,options_data_2025-10-14_01-00.csv
PINS,40,11/21/2025,Call,15000,$893.5K,26218,0,"Monday, October 13, 2025 at 4:00 PM",Unusual Call Sweep,options_data_2025-10-14_01-00.csv
NIO,5,01/16/2026,Call,2001,$480.2K,5401,0,"Monday, October 13, 2025 at 4:00 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NIO,5,01/16/2026,Call,2100,$514.5K,8701,0,"Monday, October 13, 2025 at 4:06 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,225,01/16/2026,Call,1000,$485K,5008,0,"Monday, October 13, 2025 at 4:06 PM",Call Sweep,options_data_2025-10-14_01-00.csv
AVGO,400,12/19/2025,Call,303,$492.4K,3059,0,"Monday, October 13, 2025 at 4:06 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,225,01/16/2026,Call,1000,$495K,6009,0,"Monday, October 13, 2025 at 4:07 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,225,01/16/2026,Call,1068,$539.3K,7083,0,"Monday, October 13, 2025 at 4:12 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,215,01/16/2026,Call,649,$473.8K,13801,0,"Monday, October 13, 2025 at 4:13 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,215,01/16/2026,Call,1500,$1.1M,15652,0,"Monday, October 13, 2025 at 4:13 PM",Call Sweep,options_data_2025-10-14_01-00.csv
TLT,95,09/18/2026,Put,1177,$859.2K,1421,0,"Tuesday, October 14, 2025 at 9:45 AM",Put Sweep,options_data_2025-10-14_01-00.csv
SLV,48,11/21/2025,Call,6348,$990.3K,6370,0,"Tuesday, October 14, 2025 at 9:46 AM",Call Sweep,options_data_2025-10-14_01-00.csv
TLT,94,09/18/2026,Put,1420,$951.4K,1480,0,"Tuesday, October 14, 2025 at 9:48 AM",Put Sweep,options_data_2025-10-14_01-00.csv
ETHA,30,11/21/2025,Put,1800,$567K,2004,0,"Tuesday, October 14, 2025 at 9:48 AM",Put Sweep,options_data_2025-10-14_01-00.csv
KWEB,38,11/21/2025,Put,3499,$503.9K,6703,0,"Tuesday, October 14, 2025 at 9:50 AM",Put Sweep,options_data_2025-10-14_01-00.csv
TSM,280,12/18/2026,Call,173,$1.2M,174,0,"Tuesday, October 14, 2025 at 9:51 AM",Call Sweep,options_data_2025-10-14_01-00.csv
TSM,280,12/18/2026,Call,260,$1.7M,434,0,"Tuesday, October 14, 2025 at 9:51 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GLD,370,01/16/2026,Call,421,$879.9K,476,0,"Tuesday, October 14, 2025 at 9:51 AM",Call Sweep,options_data_2025-10-14_01-00.csv
SLV,48.5,01/16/2026,Call,3034,$667.5K,3034,0,"Tuesday, October 14, 2025 at 9:53 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$459K,212,0,"Tuesday, October 14, 2025 at 9:55 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$460K,612,0,"Tuesday, October 14, 2025 at 9:56 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,198,$454.4K,1412,0,"Tuesday, October 14, 2025 at 9:56 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$459K,1812,0,"Tuesday, October 14, 2025 at 9:56 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$459K,3012,0,"Tuesday, October 14, 2025 at 9:57 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$459K,3612,0,"Tuesday, October 14, 2025 at 9:58 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,50,01/15/2027,Call,200,$461K,3812,0,"Tuesday, October 14, 2025 at 9:58 AM",Call Sweep,options_data_2025-10-14_01-00.csv
TSM,330,01/16/2026,Call,600,$864K,621,0,"Tuesday, October 14, 2025 at 9:59 AM",Call Sweep,options_data_2025-10-14_01-00.csv
RGTI,40,01/16/2026,Call,200,$400.4K,210,0,"Tuesday, October 14, 2025 at 9:59 AM",Call Sweep,options_data_2025-10-14_01-00.csv
PLTR,165,01/16/2026,Put,296,$513.6K,302,0,"Tuesday, October 14, 2025 at 9:59 AM",Put Sweep,options_data_2025-10-14_01-00.csv
INTC,37,01/16/2026,Call,3000,$1.1M,6033,0,"Tuesday, October 14, 2025 at 10:01 AM",Call Sweep,options_data_2025-10-14_01-00.csv
SLV,45.5,09/18/2026,Call,2247,$1.3M,2255,0,"Tuesday, October 14, 2025 at 10:01 AM",Call Sweep,options_data_2025-10-14_01-00.csv
AAPL,240,11/07/2025,Put,1500,$841.8K,1520,0,"Tuesday, October 14, 2025 at 10:03 AM",Put Sweep,options_data_2025-10-14_01-00.csv
INTC,37,01/16/2026,Call,1999,$739.6K,12230,0,"Tuesday, October 14, 2025 at 10:03 AM",Call Sweep,options_data_2025-10-14_01-00.csv
SOFI,20,12/17/2027,Call,500,$656.3K,1156,0,"Tuesday, October 14, 2025 at 10:03 AM",Call Sweep,options_data_2025-10-14_01-00.csv
TLT,94,09/18/2026,Put,1000,$665K,2480,0,"Tuesday, October 14, 2025 at 10:04 AM",Put Sweep,options_data_2025-10-14_01-00.csv
NVDA,240,01/16/2026,Call,3400,$676.6K,3730,0,"Tuesday, October 14, 2025 at 10:05 AM",Call Sweep,options_data_2025-10-14_01-00.csv
ARKG,25,01/16/2026,Put,3149,$488.1K,5122,0,"Tuesday, October 14, 2025 at 10:05 AM",Unusual Put Sweep,options_data_2025-10-14_01-00.csv
SOFI,20,12/17/2027,Call,488,$634.4K,2256,0,"Tuesday, October 14, 2025 at 10:06 AM",Call Sweep,options_data_2025-10-14_01-00.csv
EOSE,20,01/16/2026,Call,1976,$671.8K,6260,0,"Tuesday, October 14, 2025 at 10:08 AM",Call Sweep,options_data_2025-10-14_01-00.csv
CIFR,30,01/16/2026,Call,1351,$479.6K,4252,0,"Tuesday, October 14, 2025 at 10:08 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GLD,370,11/21/2025,Call,250,$411.3K,401,0,"Tuesday, October 14, 2025 at 10:10 AM",Call Sweep,options_data_2025-10-14_01-00.csv
IBIT,34,01/15/2027,Put,1500,$445.6K,1500,0,"Tuesday, October 14, 2025 at 10:11 AM",Put Sweep,options_data_2025-10-14_01-00.csv
IBIT,34,01/15/2027,Put,3500,$1.1M,5000,0,"Tuesday, October 14, 2025 at 10:11 AM",Put Sweep,options_data_2025-10-14_01-00.csv
EEM,48,11/21/2025,Put,24999,$748.7K,25000,0,"Tuesday, October 14, 2025 at 10:13 AM",Unusual Put Sweep,options_data_2025-10-14_01-00.csv
XLE,80,12/19/2025,Put,3083,$450.5K,3093,0,"Tuesday, October 14, 2025 at 10:15 AM",Put Sweep,options_data_2025-10-14_01-00.csv
SMH,300,03/20/2026,Put,1000,$1.5M,2333,0,"Tuesday, October 14, 2025 at 10:15 AM",Put Sweep,options_data_2025-10-14_01-00.csv
NVDA,150,01/16/2026,Put,1000,$490K,1377,0,"Tuesday, October 14, 2025 at 10:21 AM",Put Sweep,options_data_2025-10-14_01-00.csv
GLD,380,01/15/2027,Put,330,$894.3K,990,0,"Tuesday, October 14, 2025 at 10:22 AM",Put Sweep,options_data_2025-10-14_01-00.csv
TLT,93,02/20/2026,Call,2497,$489.4K,2520,0,"Tuesday, October 14, 2025 at 10:25 AM",Call Sweep,options_data_2025-10-14_01-00.csv
ANET,140,01/16/2026,Call,242,$418.7K,268,0,"Tuesday, October 14, 2025 at 10:29 AM",Call Sweep,options_data_2025-10-14_01-00.csv
MSFT,515,11/21/2025,Put,228,$477.7K,312,0,"Tuesday, October 14, 2025 at 10:31 AM",Put Sweep,options_data_2025-10-14_01-00.csv
FXI,42,06/18/2026,Call,2327,$551.5K,2682,0,"Tuesday, October 14, 2025 at 10:31 AM",Call Sweep,options_data_2025-10-14_01-00.csv
AMZN,235,12/19/2025,Call,949,$692.8K,2874,0,"Tuesday, October 14, 2025 at 10:40 AM",Call Sweep,options_data_2025-10-14_01-00.csv
AMZN,235,12/19/2025,Call,1920,$1.4M,5374,0,"Tuesday, October 14, 2025 at 10:40 AM",Call Sweep,options_data_2025-10-14_01-00.csv
PLTR,180,11/21/2025,Call,379,$595K,1631,0,"Tuesday, October 14, 2025 at 10:40 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GOOG,240,12/19/2025,Call,1002,$1.9M,1017,0,"Tuesday, October 14, 2025 at 10:43 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GOOG,240,12/19/2025,Call,559,$1.1M,1576,0,"Tuesday, October 14, 2025 at 10:45 AM",Call Sweep,options_data_2025-10-14_01-00.csv
SHOP,165,11/21/2025,Call,621,$481.3K,665,0,"Tuesday, October 14, 2025 at 10:45 AM",Call Sweep,options_data_2025-10-14_01-00.csv
WMT,87.5,05/15/2026,Call,199,$419.9K,333,0,"Tuesday, October 14, 2025 at 10:46 AM",Unusual Call Sweep,options_data_2025-10-14_01-00.csv
GOOGL,245,12/19/2025,Call,1252,$2M,3157,0,"Tuesday, October 14, 2025 at 10:47 AM",Call Sweep,options_data_2025-10-14_01-00.csv
SLV,46,11/14/2025,Call,2000,$600K,5395,0,"Tuesday, October 14, 2025 at 10:47 AM",Call Sweep,options_data_2025-10-14_01-00.csv
BA,170,01/16/2026,Call,217,$1.1M,258,0,"Tuesday, October 14, 2025 at 10:50 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GOOG,240,12/19/2025,Call,600,$1.2M,4333,0,"Tuesday, October 14, 2025 at 10:54 AM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,150,04/17/2026,Put,1112,$973K,1272,0,"Tuesday, October 14, 2025 at 10:54 AM",Put Sweep,options_data_2025-10-14_01-00.csv
BE,95,01/16/2026,Call,305,$960.8K,335,0,"Tuesday, October 14, 2025 at 10:56 AM",Call Sweep,options_data_2025-10-14_01-00.csv
DECK,95,01/21/2028,Call,187,$596.5K,189,0,"Tuesday, October 14, 2025 at 10:57 AM",Unusual Call Sweep,options_data_2025-10-14_01-00.csv
BTU,48,04/17/2026,Call,1500,$510K,1500,0,"Tuesday, October 14, 2025 at 10:58 AM",Unusual Call Sweep,options_data_2025-10-14_01-00.csv
UAMY,12.5,01/15/2027,Call,450,$432K,469,0,"Tuesday, October 14, 2025 at 11:09 AM",Call Sweep,options_data_2025-10-14_01-00.csv
GOOG,245,12/19/2025,Call,999,$1.7M,4093,0,"Tuesday, October 14, 2025 at 11:38 AM",Unusual Call Sweep,options_data_2025-10-14_01-00.csv
HIMS,30,01/16/2026,Put,3447,$430.9K,11453,0,"Tuesday, October 14, 2025 at 11:39 AM",Put Sweep,options_data_2025-10-14_01-00.csv
CRM,300,12/19/2025,Call,954,$415K,4270,0,"Tuesday, October 14, 2025 at 11:49 AM",Call Sweep,options_data_2025-10-14_01-00.csv
RBLX,135,03/20/2026,Put,272,$569.9K,372,0,"Tuesday, October 14, 2025 at 11:54 AM",Put Sweep,options_data_2025-10-14_01-00.csv
W,110,03/20/2026,Call,733,$414.1K,733,0,"Tuesday, October 14, 2025 at 12:01 PM",Call Sweep,options_data_2025-10-14_01-00.csv
AMZN,215,12/19/2025,Call,492,$794.6K,1454,0,"Tuesday, October 14, 2025 at 12:04 PM",Call Sweep,options_data_2025-10-14_01-00.csv
W,105,05/15/2026,Put,398,$1.4M,797,0,"Tuesday, October 14, 2025 at 12:04 PM",Put Sweep,options_data_2025-10-14_01-00.csv
Z,72.5,06/18/2026,Put,514,$575.7K,1615,0,"Tuesday, October 14, 2025 at 12:11 PM",Unusual Put Sweep,options_data_2025-10-14_01-00.csv
Z,80,06/18/2026,Put,279,$443.6K,397,0,"Tuesday, October 14, 2025 at 12:13 PM",Put Sweep,options_data_2025-10-14_01-00.csv
Z,80,06/18/2026,Put,378,$601K,775,0,"Tuesday, October 14, 2025 at 12:14 PM",Put Sweep,options_data_2025-10-14_01-00.csv
WMT,105,11/21/2025,Call,1001,$461.8K,6997,0,"Tuesday, October 14, 2025 at 12:23 PM",Call Sweep,options_data_2025-10-14_01-00.csv
SMH,330,03/20/2026,Put,395,$999.3K,7890,0,"Tuesday, October 14, 2025 at 12:26 PM",Unusual Put Sweep,options_data_2025-10-14_01-00.csv
IBIT,66,12/19/2025,Call,2005,$942.4K,2231,0,"Tuesday, October 14, 2025 at 12:26 PM",Call Sweep,options_data_2025-10-14_01-00.csv
SMH,300,03/20/2026,Put,569,$808K,7905,0,"Tuesday, October 14, 2025 at 12:28 PM",Put Sweep,options_data_2025-10-14_01-00.csv
W,105,05/15/2026,Put,374,$1.3M,1475,0,"Tuesday, October 14, 2025 at 12:31 PM",Put Sweep,options_data_2025-10-14_01-00.csv
TSLA,700,01/15/2027,Call,286,$1.5M,707,0,"Tuesday, October 14, 2025 at 12:35 PM",Call Sweep,options_data_2025-10-14_01-00.csv
TSLA,700,01/15/2027,Call,186,$948.6K,421,0,"Tuesday, October 14, 2025 at 12:35 PM",Call Sweep,options_data_2025-10-14_01-00.csv
WMT,105,11/21/2025,Call,1000,$483K,10148,0,"Tuesday, October 14, 2025 at 12:36 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,155,12/17/2027,Call,168,$1.1M,184,0,"Tuesday, October 14, 2025 at 12:37 PM",Call Sweep,options_data_2025-10-14_01-00.csv
WMT,105,11/21/2025,Call,1000,$480K,11156,0,"Tuesday, October 14, 2025 at 12:37 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,170,12/19/2025,Put,1000,$795K,1626,0,"Tuesday, October 14, 2025 at 12:38 PM",Put Sweep,options_data_2025-10-14_01-00.csv
C,110,01/16/2026,Call,2492,$623K,3084,0,"Tuesday, October 14, 2025 at 12:44 PM",Call Sweep,options_data_2025-10-14_01-00.csv
C,110,01/16/2026,Call,2440,$617.1K,5599,0,"Tuesday, October 14, 2025 at 12:44 PM",Call Sweep,options_data_2025-10-14_01-00.csv
AMD,230,12/19/2025,Call,221,$442K,813,0,"Tuesday, October 14, 2025 at 12:44 PM",Call Sweep,options_data_2025-10-14_01-00.csv
TSLA,700,06/18/2026,Call,204,$501.8K,1523,0,"Tuesday, October 14, 2025 at 12:48 PM",Call Sweep,options_data_2025-10-14_01-00.csv
NVDA,200,03/20/2026,Call,300,$474K,1876,0,"Tuesday, October 14, 2025 at 12:49 PM",Call Sweep,options_data_2025-10-14_01-00.csv
TSM,300,11/21/2025,Call,509,$964.9K,1602,0,"Tuesday, October 14, 2025 at 1:00 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NXE,11,01/16/2026,Call,4462,$557.7K,4624,0,"Tuesday, October 14, 2025 at 1:00 PM",Call Sweep,options_data_2025-10-14_15-00.csv
OKLO,180,11/21/2025,Put,300,$897K,658,0,"Tuesday, October 14, 2025 at 1:05 PM",Unusual Put Sweep,options_data_2025-10-14_15-00.csv
GLD,395,11/07/2025,Call,1250,$593.7K,1350,0,"Tuesday, October 14, 2025 at 1:07 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NVDA,185,12/19/2025,Call,296,$410K,3001,0,"Tuesday, October 14, 2025 at 1:13 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WULF,18,01/16/2026,Call,2464,$603.7K,9029,0,"Tuesday, October 14, 2025 at 1:22 PM",Call Sweep,options_data_2025-10-14_15-00.csv
TSLA,510,12/19/2025,Call,336,$604.8K,459,0,"Tuesday, October 14, 2025 at 1:27 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,775,$406.9K,15655,0,"Tuesday, October 14, 2025 at 1:28 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NVDA,200,11/21/2025,Call,999,$519.5K,12630,0,"Tuesday, October 14, 2025 at 1:29 PM",Call Sweep,options_data_2025-10-14_15-00.csv
QCOM,165,11/07/2025,Put,513,$415.5K,534,0,"Tuesday, October 14, 2025 at 1:29 PM",Put Sweep,options_data_2025-10-14_15-00.csv
LLY,820,11/21/2025,Put,150,$634.5K,188,0,"Tuesday, October 14, 2025 at 1:30 PM",Put Sweep,options_data_2025-10-14_15-00.csv
SOFI,30,12/17/2027,Call,396,$423.7K,593,0,"Tuesday, October 14, 2025 at 1:32 PM",Call Sweep,options_data_2025-10-14_15-00.csv
EEM,52.5,11/14/2025,Put,6088,$511.4K,6088,0,"Tuesday, October 14, 2025 at 1:38 PM",Highly Unusual Put Sweep,options_data_2025-10-14_15-00.csv
HOOD,140,11/21/2025,Call,627,$849.6K,3724,0,"Tuesday, October 14, 2025 at 1:40 PM",Call Sweep,options_data_2025-10-14_15-00.csv
HOOD,140,11/21/2025,Call,382,$521.4K,4108,0,"Tuesday, October 14, 2025 at 1:41 PM",Call Sweep,options_data_2025-10-14_15-00.csv
HOOD,140,11/21/2025,Call,998,$1.4M,6119,0,"Tuesday, October 14, 2025 at 1:44 PM",Call Sweep,options_data_2025-10-14_15-00.csv
HOOD,140,11/21/2025,Call,1000,$1.4M,7119,0,"Tuesday, October 14, 2025 at 1:45 PM",Call Sweep,options_data_2025-10-14_15-00.csv
HOOD,140,11/21/2025,Call,1008,$1.4M,8176,0,"Tuesday, October 14, 2025 at 1:50 PM",Call Sweep,options_data_2025-10-14_15-00.csv
IBIT,95,12/17/2027,Call,399,$538.7K,406,0,"Tuesday, October 14, 2025 at 1:54 PM",Call Sweep,options_data_2025-10-14_15-00.csv
AMD,180,05/15/2026,Put,369,$546.1K,478,0,"Tuesday, October 14, 2025 at 2:09 PM",Put Sweep,options_data_2025-10-14_15-00.csv
IONQ,50,12/19/2025,Call,200,$669K,556,0,"Tuesday, October 14, 2025 at 2:15 PM",Call Sweep,options_data_2025-10-14_15-00.csv
IONQ,50,12/19/2025,Call,201,$672.3K,757,0,"Tuesday, October 14, 2025 at 2:15 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NVDA,200,11/21/2025,Call,1000,$470K,15371,0,"Tuesday, October 14, 2025 at 2:18 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NVDA,200,11/21/2025,Call,1002,$470.9K,16375,0,"Tuesday, October 14, 2025 at 2:18 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,2577,$1.4M,23373,0,"Tuesday, October 14, 2025 at 2:21 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,1000,$532.7K,24375,0,"Tuesday, October 14, 2025 at 2:21 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,1000,$540K,25376,0,"Tuesday, October 14, 2025 at 2:21 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,1005,$537.6K,26388,0,"Tuesday, October 14, 2025 at 2:22 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,999,$544.5K,27558,0,"Tuesday, October 14, 2025 at 2:25 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,999,$549.5K,28558,0,"Tuesday, October 14, 2025 at 2:25 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,1000,$564.9K,30586,0,"Tuesday, October 14, 2025 at 2:26 PM",Unusual Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,991,$579.7K,33562,0,"Tuesday, October 14, 2025 at 2:33 PM",Unusual Call Sweep,options_data_2025-10-14_15-00.csv
BABA,170,11/21/2025,Call,750,$682.5K,6364,0,"Tuesday, October 14, 2025 at 2:37 PM",Call Sweep,options_data_2025-10-14_15-00.csv
WMT,105,11/21/2025,Call,1361,$809.8K,36240,0,"Tuesday, October 14, 2025 at 2:55 PM",Unusual Call Sweep,options_data_2025-10-14_15-00.csv
SLV,41.5,09/18/2026,Call,900,$711K,2401,0,"Tuesday, October 14, 2025 at 2:59 PM",Call Sweep,options_data_2025-10-14_15-00.csv
GLD,387,11/14/2025,Call,1005,$869.3K,1028,0,"Tuesday, October 14, 2025 at 3:01 PM",Unusual Call Sweep,options_data_2025-10-14_15-00.csv
HPE,25,01/16/2026,Call,1900,$492.1K,10551,0,"Tuesday, October 14, 2025 at 3:04 PM",Call Sweep,options_data_2025-10-14_15-00.csv
QUBT,23,01/16/2026,Put,967,$541.5K,974,0,"Tuesday, October 14, 2025 at 3:04 PM",Put Sweep,options_data_2025-10-14_15-00.csv
GLD,415,03/20/2026,Call,999,$1.1M,1111,0,"Tuesday, October 14, 2025 at 3:10 PM",Call Sweep,options_data_2025-10-14_15-00.csv
NVDA,180,01/16/2026,Call,540,$993.6K,2410,0,"Tuesday, October 14, 2025 at 3:12 PM",Call Sweep,options_data_2025-10-14_15-00.csv
IREN,75,03/20/2026,Put,500,$1.3M,2512,0,"Tuesday, October 14, 2025 at 3:15 PM",Put Sweep,options_data_2025-10-14_15-00.csv
NVDA,120,06/17/2027,Put,450,$490.5K,451,0,"Tuesday, October 14, 2025 at 3:15 PM",Put Sweep,options_data_2025-10-14_15-00.csv
NVDA,200,06/18/2026,Call,455,$969.2K,1913,0,"Tuesday, October 14, 2025 at 3:19 PM",Call Sweep,options_data_2025-10-14_15-00.csv
AMZN,300,06/17/2027,Call,527,$927.5K,593,0,"Tuesday, October 14, 2025 at 3:22 PM",Call Sweep,options_data_2025-10-14_15-00.csv
