"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2","emojiTooltipText__040f0","emojiTooltipText__040f0 2","emojiTooltipText__040f0 3","emojiTooltipText__040f0 5","hiddenVisually_b18fe2 3","hiddenVisually_b18fe2 4","hiddenVisually_b18fe2 5"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:07 AM","—","Monday, October 13, 2025 at 10:07 AM","Highly Unusual Put Sweep","SOFI","25","10/31/2025","Put","Ask","9,603","$1.2M","9,755","19,704","3 hours ago","Monday, October 13, 2025 at 9:52 AM","","","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:08 AM","Call Sweep","NVDA","190","11/21/2025","Call","Ask","500","$585K","2,162","38,516","3 hours ago","Monday, October 13, 2025 at 9:53 AM","10:08 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 13, 2025 at 10:09 AM","Call Sweep","NVDA","200","01/16/2026","Call","Ask","999","$1.2M","4,016","71,113","3 hours ago","Monday, October 13, 2025 at 9:54 AM","10:09 AM","]","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:10 AM","Call Sweep","APLD","20","03/20/2026","Call","Ask","200","$410K","205","2,350","3 hours ago","Monday, October 13, 2025 at 9:55 AM","10:10 AM","]","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:13 AM","Call Sweep","TSM","305","10/24/2025","Call","Ask","761","$639.2K","854","720","3 hours ago","Monday, October 13, 2025 at 9:58 AM","10:13 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 13, 2025 at 10:13 AM","Call Sweep","USAR","55","12/19/2025","Call","Ask","500","$400K","602","0","3 hours ago","Monday, October 13, 2025 at 9:58 AM","10:13 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Call Sweep","NVDA","185","12/19/2025","Call","Ask","526","$917.9K","988","29,790","3 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Call Sweep","QS","10","01/16/2026","Call","Above","1,212","$957.5K","1,559","23,084","3 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:14 AM","Put Sweep","SMCI","60","12/19/2025","Put","Ask","2,122","$2.1M","2,133","722","3 hours ago","Monday, October 13, 2025 at 9:59 AM","10:14 AM","]","","","","","","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:15 AM","—","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","216","12/19/2025","Call","Ask","1,387","$714.3K","1,499","2,317","3 hours ago","Monday, October 13, 2025 at 10:00 AM","","","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","200","12/19/2025","Call","Ask","483","$495.1K","1,499","62,066","3 hours ago","Monday, October 13, 2025 at 10:00 AM","10:15 AM","]","","","","","","",""
"","","","","[","Monday, October 13, 2025 at 10:15 AM","Call Sweep","NVDA","200","12/19/2025","Call","Ask","1,000","$1M","2,500","62,066","3 hours ago","Monday, October 13, 2025 at 10:00 AM","10:15 AM","]",":thumbsup:","Click to react",":white_check_mark:",":heart:","Add Reaction","Forward","More"
"","","","","[","Monday, October 13, 2025 at 10:16 AM","Call Sweep","OKLO","155","01/16/2026","Call","Ask","200","$950K","1,724","3,020","3 hours ago","Monday, October 13, 2025 at 10:01 AM","10:16 AM","]","","","","","","",""
