"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 10:40 AM","—","Tuesday, October 14, 2025 at 10:40 AM","Call Sweep","AMZN","235","12/19/2025","Call","Above","1,920","$1.4M","5,374","42,459","a day ago","Tuesday, October 14, 2025 at 10:25 AM","",""
"","","","","[","Tuesday, October 14, 2025 at 10:40 AM","Call Sweep","PLTR","180","11/21/2025","Call","Ask","379","$595K","1,631","11,290","a day ago","Tuesday, October 14, 2025 at 10:25 AM","10:40 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:41 AM","Unusual Call Sweep","TSLA","422.5","10/17/2025","Call","Above","402","$426.1K","13,109","2,860","a day ago","Tuesday, October 14, 2025 at 10:26 AM","10:41 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:43 AM","Call Sweep","GOOG","240","12/19/2025","Call","Above","1,002","$1.9M","1,017","1,849","a day ago","Tuesday, October 14, 2025 at 10:28 AM","10:43 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:43 AM","Call Sweep","TSLA","440","10/17/2025","Call","Ask","1,167","$431.8K","13,426","20,792","a day ago","Tuesday, October 14, 2025 at 10:28 AM","10:43 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:45 AM","Call Sweep","GOOG","240","12/19/2025","Call","Ask","559","$1.1M","1,576","1,849","a day ago","Tuesday, October 14, 2025 at 10:30 AM","10:45 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:45 AM","Call Sweep","SHOP","165","11/21/2025","Call","Ask","621","$481.3K","665","962","a day ago","Tuesday, October 14, 2025 at 10:30 AM","10:45 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:46 AM","Unusual Call Sweep","WMT","87.5","05/15/2026","Call","Ask","199","$419.9K","333","54","a day ago","Tuesday, October 14, 2025 at 10:31 AM","10:46 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 10:47 AM","—","Tuesday, October 14, 2025 at 10:47 AM","Call Sweep","GOOGL","245","12/19/2025","Call","Ask","1,252","$2M","3,157","4,562","a day ago","Tuesday, October 14, 2025 at 10:32 AM","",""
"","","","","[","Tuesday, October 14, 2025 at 10:47 AM","Call Sweep","SLV","46","11/14/2025","Call","Ask","2,000","$600K","5,395","2,142","a day ago","Tuesday, October 14, 2025 at 10:32 AM","10:47 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:50 AM","Call Sweep","BA","170","01/16/2026","Call","Ask","217","$1.1M","258","1,200","a day ago","Tuesday, October 14, 2025 at 10:35 AM","10:50 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:54 AM","Call Sweep","GOOG","240","12/19/2025","Call","Ask","600","$1.2M","4,333","1,849","a day ago","Tuesday, October 14, 2025 at 10:39 AM","10:54 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 10:54 AM","—","Tuesday, October 14, 2025 at 10:54 AM","Put Sweep","NVDA","150","04/17/2026","Put","Ask","1,112","$973K","1,272","5,440","a day ago","Tuesday, October 14, 2025 at 10:39 AM","",""
"","","","","[","Tuesday, October 14, 2025 at 10:56 AM","Call Sweep","BE","95","01/16/2026","Call","Ask","305","$960.8K","335","684","a day ago","Tuesday, October 14, 2025 at 10:41 AM","10:56 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:57 AM","Unusual Call Sweep","DECK","95","01/21/2028","Call","Ask","187","$596.5K","189","8","a day ago","Tuesday, October 14, 2025 at 10:41 AM","10:57 AM","]"
"","","","","[","Tuesday, October 14, 2025 at 10:58 AM","Unusual Call Sweep","BTU","48","04/17/2026","Call","Ask","1,500","$510K","1,500","62","a day ago","Tuesday, October 14, 2025 at 10:43 AM","10:58 AM","]"
