"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:43 PM","—","Thursday, October 16, 2025 at 12:43 PM","Put Sweep","AMZN","215","10/31/2025","Put","Above","876","$764.3K","1,885","5,496","a day ago","Thursday, October 16, 2025 at 12:28 PM","",""
"","","","","[","Thursday, October 16, 2025 at 12:45 PM","Put Sweep","COIN","250","09/18/2026","Put","Above","245","$829.3K","245","1,042","a day ago","Thursday, October 16, 2025 at 12:30 PM","12:45 PM","]"
"","","","","[","Thursday, October 16, 2025 at 12:46 PM","Unusual Put Sweep","AFRM","57.5","03/20/2026","Put","Ask","712","$487.7K","791","236","a day ago","Thursday, October 16, 2025 at 12:31 PM","12:46 PM","]"
"","","","","[","Thursday, October 16, 2025 at 12:47 PM","Call Sweep","TSM","300","01/16/2026","Call","Above","354","$969.2K","1,396","9,048","a day ago","Thursday, October 16, 2025 at 12:32 PM","12:47 PM","]"
"","","","","[","Thursday, October 16, 2025 at 12:48 PM","Call Sweep","TSLA","420","10/24/2025","Call","Ask","231","$531.3K","1,069","2,815","a day ago","Thursday, October 16, 2025 at 12:33 PM","12:48 PM","]"
"","","","","[","Thursday, October 16, 2025 at 12:49 PM","Put Sweep","MP","95","10/24/2025","Put","Ask","363","$421.1K","463","471","a day ago","Thursday, October 16, 2025 at 12:34 PM","12:49 PM","]"
"","","","","[","Thursday, October 16, 2025 at 12:49 PM","Put Sweep","IBIT","60","10/24/2025","Put","Above","2,799","$406.1K","6,069","14,871","a day ago","Thursday, October 16, 2025 at 12:34 PM","12:49 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 12:51 PM","—","Thursday, October 16, 2025 at 12:51 PM","Highly Unusual Put Sweep","IBIT","57","10/31/2025","Put","Above","7,997","$935.6K","12,453","2,157","a day ago","Thursday, October 16, 2025 at 12:35 PM","",""
"","","","","[","Thursday, October 16, 2025 at 12:56 PM","Call Sweep","IBIT","70","12/31/2025","Call","Ask","1,600","$480K","3,029","22,712","a day ago","Thursday, October 16, 2025 at 12:41 PM","12:56 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 1:02 PM","—","Thursday, October 16, 2025 at 1:02 PM","Put Sweep","TQQQ","115","11/28/2025","Put","Ask","800","$1.4M","800","801","a day ago","Thursday, October 16, 2025 at 12:46 PM","",""
"","","","","[","Thursday, October 16, 2025 at 1:03 PM","Call Sweep","GLD","400","10/24/2025","Call","Ask","1,000","$470K","11,657","14,629","a day ago","Thursday, October 16, 2025 at 12:48 PM","1:03 PM","]"
"","","","","[","Thursday, October 16, 2025 at 1:06 PM","Call Sweep","NBIS","120","01/16/2026","Call","Ask","200","$528K","330","2,411","a day ago","Thursday, October 16, 2025 at 12:51 PM","1:06 PM","]"
