"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:53 PM","—","Thursday, October 9, 2025 at 3:53 PM","Unusual Call Sweep","MSTR","347.5","10/17/2025","Call","Ask","2,005","$832.1K","11,374","604","a day ago","Thursday, October 9, 2025 at 3:38 PM","",""
"","","","","[","Thursday, October 9, 2025 at 3:53 PM","Call Sweep","META","800","12/19/2025","Call","Ask","500","$1.3M","1,586","7,626","a day ago","Thursday, October 9, 2025 at 3:38 PM","3:53 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 4:01 PM","—","Thursday, October 9, 2025 at 4:01 PM","Call Sweep","AMZN","260","12/17/2027","Call","Ask","178","$691.5K","241","1,487","a day ago","Thursday, October 9, 2025 at 3:46 PM","",""
"","","","","[","Thursday, October 9, 2025 at 4:02 PM","Call Sweep","PLTR","220","01/16/2026","Call","Ask","1,000","$1.2M","1,606","5,759","a day ago","Thursday, October 9, 2025 at 3:47 PM","4:02 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:03 PM","Call Sweep","BABA","185","02/20/2026","Call","Ask","389","$608.8K","500","1,242","a day ago","Thursday, October 9, 2025 at 3:48 PM","4:03 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 4:10 PM","—","Thursday, October 9, 2025 at 4:10 PM","Put Sweep","WBD","18","10/17/2025","Put","Ask","4,969","$402.5K","12,289","34,461","a day ago","Thursday, October 9, 2025 at 3:55 PM","",""
"","","","","[","Thursday, October 9, 2025 at 4:10 PM","Call Sweep","INTC","37.5","10/10/2025","Call","Above","10,107","$738.1K","34,991","12,632","a day ago","Thursday, October 9, 2025 at 3:55 PM","4:10 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:14 PM","Call Sweep","ETHA","34","11/21/2025","Call","Above","3,000","$877.5K","6,736","16,666","a day ago","Thursday, October 9, 2025 at 3:59 PM","4:14 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:14 PM","Call Sweep","ETHA","34","11/21/2025","Call","Above","2,225","$665.5K","8,961","16,666","a day ago","Thursday, October 9, 2025 at 3:59 PM","4:14 PM","]"
"","","","","[","Thursday, October 9, 2025 at 4:15 PM","Call Sweep","INTC","40","01/15/2027","Call","Ask","502","$451.8K","3,849","53,277","a day ago","Thursday, October 9, 2025 at 3:59 PM","4:15 PM","]"
