"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:25 PM","—","Thursday, November 13, 2025 at 2:25 PM","Call Sweep","NVDA","170","12/19/2025","Call","Ask","563","$1.2M","1,062","20,754","a day ago","Thursday, November 13, 2025 at 2:10 PM","",""
"","","","","[","Thursday, November 13, 2025 at 2:25 PM","Highly Unusual Call Sweep","TSLA","480","12/05/2025","Call","Above","5,489","$1.7M","7,137","39,895","a day ago","Thursday, November 13, 2025 at 2:10 PM","2:25 PM","]"
"","","","","[","Thursday, November 13, 2025 at 2:30 PM","Put Sweep","TSLA","360","06/18/2026","Put","Ask","340","$1.5M","454","2,439","a day ago","Thursday, November 13, 2025 at 2:14 PM","2:30 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:35 PM","—","Thursday, November 13, 2025 at 2:35 PM","Put Sweep","NVDA","185","01/16/2026","Put","Ask","359","$504.4K","1,627","11,607","a day ago","Thursday, November 13, 2025 at 2:20 PM","",""
"","","","","[","Thursday, November 13, 2025 at 2:41 PM","Put Sweep","AAPL","270","03/20/2026","Put","Ask","336","$457K","574","3,132","a day ago","Thursday, November 13, 2025 at 2:25 PM","2:41 PM","]"
"","","","","[","Thursday, November 13, 2025 at 2:42 PM","Call Sweep","SGHC","10","04/17/2026","Call","Ask","1,499","$494.7K","1,500","66,450","a day ago","Thursday, November 13, 2025 at 2:26 PM","2:42 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:43 PM","—","Thursday, November 13, 2025 at 2:43 PM","Unusual Call Sweep","TSLA","400","11/14/2025","Call","Ask","581","$424.1K","76,288","1,760","a day ago","Thursday, November 13, 2025 at 2:28 PM","",""
"","","","","[","Thursday, November 13, 2025 at 2:45 PM","Call Sweep","ISRG","565","12/19/2025","Call","Ask","250","$550K","252","816","a day ago","Thursday, November 13, 2025 at 2:30 PM","2:45 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 2:53 PM","—","Thursday, November 13, 2025 at 2:53 PM","Call Sweep","NVDA","220","12/19/2025","Call","Above","2,129","$501.3K","12,275","65,788","a day ago","Thursday, November 13, 2025 at 2:38 PM","",""
"","","","","[","Thursday, November 13, 2025 at 3:00 PM","Put Sweep","COIN","240","06/18/2026","Put","Ask","202","$642.4K","219","464","a day ago","Thursday, November 13, 2025 at 2:45 PM","3:00 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:17 PM","—","Thursday, November 13, 2025 at 3:17 PM","Call Sweep","CIFR","10","01/15/2027","Call","Ask","450","$400.5K","1,076","16,043","a day ago","Thursday, November 13, 2025 at 3:02 PM","",""
"","","","","[","Thursday, November 13, 2025 at 3:17 PM","Call Sweep","TSLA","400","01/16/2026","Call","Ask","200","$771K","4,825","21,647","a day ago","Thursday, November 13, 2025 at 3:02 PM","3:17 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:34 PM","—","Thursday, November 13, 2025 at 3:34 PM","Call Sweep","GLD","382","11/17/2025","Call","Above","1,891","$785.5K","7,130","3,540","a day ago","Thursday, November 13, 2025 at 3:19 PM","",""
"","","","","[","Thursday, November 13, 2025 at 3:36 PM","Put Sweep","IBIT","50","01/16/2026","Put","Above","2,499","$556K","3,597","17,547","a day ago","Thursday, November 13, 2025 at 3:21 PM","3:36 PM","]"
"","","","","[","Thursday, November 13, 2025 at 3:38 PM","Put Sweep","IBIT","50","01/16/2026","Put","Ask","2,500","$557.5K","6,177","17,547","a day ago","Thursday, November 13, 2025 at 3:23 PM","3:38 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:43 PM","—","Thursday, November 13, 2025 at 3:43 PM","Unusual Call Sweep","FWONK","100","12/19/2025","Call","Above","1,028","$401.7K","1,028","25","a day ago","Thursday, November 13, 2025 at 3:28 PM","",""
"","","","","[","Thursday, November 13, 2025 at 3:43 PM","Call Sweep","AMZN","250","12/19/2025","Call","Ask","826","$433.7K","3,665","27,656","a day ago","Thursday, November 13, 2025 at 3:28 PM","3:43 PM","]"
"","","","","[","Thursday, November 13, 2025 at 3:50 PM","Put Sweep","XLV","153","11/21/2025","Put","Ask","2,500","$452.5K","2,564","14","a day ago","Thursday, November 13, 2025 at 3:34 PM","3:50 PM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","Yesterday at 3:56 PM","—","Thursday, November 13, 2025 at 3:56 PM","Unusual Call Sweep","LYV","140","12/19/2025","Call","Above","1,077","$517K","1,078","31","a day ago","Thursday, November 13, 2025 at 3:40 PM","",""
"","","","","[","Thursday, November 13, 2025 at 3:59 PM","Unusual Call Sweep","SSRM","19","03/20/2026","Call","Ask","1,000","$440K","1,000","180","a day ago","Thursday, November 13, 2025 at 3:43 PM","3:59 PM","]"
"","","","","[","Thursday, November 13, 2025 at 4:01 PM","Call Sweep","SBSW","11","04/17/2026","Call","Above","2,162","$465.2K","2,883","1,440","a day ago","Thursday, November 13, 2025 at 3:45 PM","4:01 PM","]"
"","","","","[","Thursday, November 13, 2025 at 4:01 PM","Put Sweep","NVDA","210","11/21/2025","Put","Ask","230","$553.2K","1,214","10,280","a day ago","Thursday, November 13, 2025 at 3:46 PM","4:01 PM","]"
"","","","","[","Thursday, November 13, 2025 at 4:02 PM","Put Sweep","GOOGL","280","03/20/2026","Put","Above","220","$508.2K","332","424","a day ago","Thursday, November 13, 2025 at 3:47 PM","4:02 PM","]"
