"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/6/25, 11:13 AM","—","Thursday, November 6, 2025 at 11:13 AM","Call Sweep","GLD","366","11/14/2025","Call","Above","1,000","$449.8K","1,072","357","5 days ago","Thursday, November 6, 2025 at 10:58 AM","",""
"","","","","[","Thursday, November 6, 2025 at 11:13 AM","Put Sweep","CRCL","95","11/21/2025","Put","Above","1,000","$500.1K","1,048","4,110","5 days ago","Thursday, November 6, 2025 at 10:58 AM","11:13 AM","]"
"","","","","[","Thursday, November 6, 2025 at 11:15 AM","Put Sweep","NVDA","185","01/16/2026","Put","Ask","400","$482K","620","10,513","5 days ago","Thursday, November 6, 2025 at 10:59 AM","11:15 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/6/25, 11:24 AM","—","Thursday, November 6, 2025 at 11:24 AM","Unusual Call Sweep","MSTR","262.5","11/14/2025","Call","Ask","2,479","$793.3K","2,566","489","5 days ago","Thursday, November 6, 2025 at 11:09 AM","",""
"","","","","[","Thursday, November 6, 2025 at 11:26 AM","Put Sweep","TEM","75","01/16/2026","Put","Ask","472","$472K","645","3,526","5 days ago","Thursday, November 6, 2025 at 11:10 AM","11:26 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/6/25, 11:32 AM","—","Thursday, November 6, 2025 at 11:32 AM","Put Sweep","TSLA","450","11/07/2025","Put","Above","501","$696.4K","29,748","13,427","5 days ago","Thursday, November 6, 2025 at 11:16 AM","",""
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","11/6/25, 11:49 AM","—","Thursday, November 6, 2025 at 11:49 AM","Put Sweep","BLSH","60","11/21/2025","Put","Ask","463","$747.7K","539","1,413","5 days ago","Thursday, November 6, 2025 at 11:34 AM","",""
"","","","","[","Thursday, November 6, 2025 at 11:50 AM","Call Sweep","NVDA","190","01/21/2028","Call","Ask","254","$1.4M","587","2,757","5 days ago","Thursday, November 6, 2025 at 11:35 AM","11:50 AM","]"
"","","","","[","Thursday, November 6, 2025 at 11:50 AM","Put Sweep","AMD","240","11/07/2025","Put","Above","1,005","$557.8K","40,409","29,540","5 days ago","Thursday, November 6, 2025 at 11:35 AM","11:50 AM","]"
"","","","","[","Thursday, November 6, 2025 at 11:55 AM","Put Sweep","IBIT","57","11/14/2025","Put","Above","2,664","$407.8K","7,873","17,490","5 days ago","Thursday, November 6, 2025 at 11:39 AM","11:55 AM","]"
